"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.443633054E1,-8.558547974E0,1.683502579E1,-4.923492432E1
1.448594354E1,-8.328674316E0,1.717858505E1,-4.938897705E1
1.453555554E1,-8.321426392E0,1.743360519E1,-4.919744873E1
1.458516754E1,-8.487731934E0,1.712998581E1,-4.888237000E1
1.463478054E1,-8.801940918E0,1.727917099E1,-4.857884216E1
1.468439254E1,-8.627502441E0,1.719202042E1,-4.925471497E1
1.473400454E1,-8.347457886E0,1.737070847E1,-4.880931091E1
1.478361754E1,-8.436691284E0,1.747589493E1,-4.887863159E1
1.483322954E1,-8.175827026E0,1.749697495E1,-4.918434143E1
1.488284254E1,-8.501022339E0,1.720994186E1,-4.912760925E1
1.493245454E1,-8.312179565E0,1.728606033E1,-4.941461182E1
1.498206654E1,-8.122970581E0,1.744997787E1,-4.877619934E1
1.503167954E1,-8.357467651E0,1.716170883E1,-4.932621765E1
1.508129154E1,-8.445724487E0,1.731715012E1,-4.912068176E1
1.513090354E1,-8.519195557E0,1.677319717E1,-4.886938477E1
1.518051725E1,-8.228744507E0,1.682346725E1,-4.906419373E1
1.523012925E1,-8.154891968E0,1.666915512E1,-4.947816467E1
1.527974225E1,-7.935684204E0,1.730586624E1,-4.889169312E1
1.532935425E1,-8.287597656E0,1.717525864E1,-4.914768982E1
1.537896625E1,-8.015106201E0,1.689062119E1,-4.943901062E1
1.542857925E1,-7.833831787E0,1.688162613E1,-4.949710083E1
1.547819125E1,-7.483642578E0,1.691405106E1,-4.918086243E1
1.552780325E1,-7.563659668E0,1.703013229E1,-4.932852173E1
1.557741625E1,-7.381393433E0,1.714294815E1,-4.916510010E1
1.562702825E1,-7.539077759E0,1.755784225E1,-4.885256958E1
1.567664025E1,-7.887710571E0,1.731686020E1,-4.873971558E1
1.572625325E1,-7.424682617E0,1.741833878E1,-4.857675171E1
1.577586525E1,-7.772140503E0,1.782600021E1,-4.908737183E1
1.582547825E1,-7.851028442E0,1.748650742E1,-4.882495117E1
1.587509025E1,-7.460021973E0,1.795539474E1,-4.897793579E1
1.592470225E1,-7.715515137E0,1.779165268E1,-4.883857727E1
1.597431525E1,-7.604965210E0,1.774882126E1,-4.863059998E1
1.602392725E1,-7.668304443E0,1.715252304E1,-4.911444092E1
1.607353925E1,-7.475204468E0,1.767394638E1,-4.870089722E1
1.612315225E1,-7.825622559E0,1.741666031E1,-4.905647278E1
1.617276354E1,-7.881362915E0,1.746617508E1,-4.926634216E1
1.622237554E1,-7.517868042E0,1.777892685E1,-4.889233398E1
1.627198854E1,-7.538543701E0,1.757526779E1,-4.920898438E1
1.632160054E1,-7.160018921E0,1.791052628E1,-4.926531982E1
1.637121254E1,-7.355316162E0,1.770076370E1,-4.879364014E1
1.642082554E1,-7.340042114E0,1.776336288E1,-4.856178284E1
1.647043754E1,-7.259185791E0,1.746177292E1,-4.875938416E1
1.652004954E1,-7.585281372E0,1.754553604E1,-4.904251099E1
1.656966254E1,-7.136535645E0,1.757453537E1,-4.898960876E1
1.661927454E1,-7.121398926E0,1.734669876E1,-4.916528320E1
1.666888654E1,-7.108489990E0,1.743597794E1,-4.927398682E1
1.671849954E1,-7.453002930E0,1.783475876E1,-4.896507263E1
1.676811154E1,-7.139801025E0,1.732118607E1,-4.878324890E1
1.681772354E1,-6.895965576E0,1.757734299E1,-4.919099426E1
1.686733654E1,-6.772796631E0,1.743955612E1,-4.908110046E1
1.691694854E1,-7.058166504E0,1.756548691E1,-4.894070435E1
1.696656054E1,-6.812225342E0,1.724107742E1,-4.898078918E1
1.701617354E1,-6.963180542E0,1.757921982E1,-4.892317200E1
1.706578554E1,-7.142578125E0,1.762471390E1,-4.896253967E1
1.711539754E1,-7.104385376E0,1.751058578E1,-4.865586853E1
1.716501137E1,-6.956405640E0,1.752352524E1,-4.862353516E1
1.721462337E1,-7.393798828E0,1.771467209E1,-4.841452026E1
1.726423537E1,-7.060653687E0,1.760750198E1,-4.917539978E1
1.731384837E1,-7.054611206E0,1.756435776E1,-4.952635193E1
1.736346037E1,-7.355728149E0,1.773802567E1,-4.871009827E1
1.741307237E1,-7.051895142E0,1.728620529E1,-4.870697021E1
1.746268538E1,-7.061767578E0,1.772050858E1,-4.934042358E1
1.751229738E1,-6.717254639E0,1.755748367E1,-4.925103760E1
1.756190938E1,-7.032852173E0,1.769146347E1,-4.876385498E1
1.761152238E1,-7.071060181E0,1.760651779E1,-4.894245911E1
1.766113438E1,-6.785202026E0,1.782736588E1,-4.888687134E1
1.771074638E1,-6.888534546E0,1.794189835E1,-4.916761780E1
1.776035837E1,-6.826034546E0,1.792199326E1,-4.879991150E1
1.780997137E1,-6.967132568E0,1.788483810E1,-4.825251770E1
1.785958337E1,-7.232269287E0,1.787646866E1,-4.862599182E1
1.790919537E1,-6.982589722E0,1.801590347E1,-4.912757874E1
1.795880837E1,-6.982177734E0,1.807100296E1,-4.853860474E1
1.800842037E1,-7.017883301E0,1.772720718E1,-4.935644531E1
1.805803237E1,-7.278823853E0,1.785943985E1,-4.880412292E1
1.810764537E1,-7.363677979E0,1.739091873E1,-4.904547119E1
1.815725667E1,-6.977600098E0,1.782773972E1,-4.871479797E1
1.820686867E1,-7.175140381E0,1.741727066E1,-4.909269714E1
1.825648067E1,-7.089797974E0,1.784148026E1,-4.867961121E1
1.830609367E1,-6.820510864E0,1.766251755E1,-4.950660706E1
1.835570567E1,-7.187072754E0,1.768532944E1,-4.872540283E1
1.840531767E1,-7.110504150E0,1.734177780E1,-4.876438904E1
1.845493067E1,-6.781402588E0,1.705717850E1,-4.903118896E1
1.850454267E1,-7.446899414E0,1.734483719E1,-4.852392578E1
1.855415467E1,-7.280487061E0,1.711761856E1,-4.840228271E1
1.860376767E1,-7.156478882E0,1.700172043E1,-4.877183533E1
1.865337967E1,-7.121948242E0,1.713492203E1,-4.874015808E1
1.870299167E1,-7.153625488E0,1.738727951E1,-4.868228149E1
1.875260367E1,-6.726577759E0,1.697640610E1,-4.942182922E1
1.880221667E1,-7.043380737E0,1.665781021E1,-4.931219482E1
1.885182867E1,-7.303558350E0,1.666683578E1,-4.867332458E1
1.890144067E1,-7.301574707E0,1.646966934E1,-4.963534546E1
1.895105267E1,-6.982803345E0,1.664520645E1,-4.916125488E1
1.900066567E1,-6.619003296E0,1.640209579E1,-4.875381470E1
1.905027767E1,-6.417022705E0,1.648265457E1,-4.963171387E1
1.909988967E1,-6.799774170E0,1.692773056E1,-4.893756104E1
1.914950267E1,-6.820602417E0,1.642298508E1,-4.961392212E1
1.919911500E1,-7.041351318E0,1.699794388E1,-4.961270142E1
1.924872700E1,-6.883590698E0,1.652031326E1,-5.036029053E1
1.929834000E1,-6.717285156E0,1.680382919E1,-4.929919434E1
1.934795200E1,-6.732421875E0,1.638583755E1,-4.986933899E1
1.939756400E1,-6.634918213E0,1.658337784E1,-4.920803833E1
1.944717600E1,-6.353530884E0,1.646012497E1,-4.935589600E1
1.949678900E1,-6.395004272E0,1.664218521E1,-4.967372131E1
1.954640100E1,-6.554901123E0,1.606216812E1,-4.984541321E1
1.959601300E1,-6.718795776E0,1.626833725E1,-4.968167114E1
1.964562500E1,-6.689208984E0,1.600586319E1,-4.888055420E1
1.969523800E1,-6.675765991E0,1.590876389E1,-4.945672607E1
1.974485000E1,-6.764068604E0,1.581077194E1,-4.875358582E1
1.979446200E1,-6.878585815E0,1.597308731E1,-4.937509155E1
1.984407400E1,-6.562408447E0,1.569900894E1,-4.930644226E1
1.989368700E1,-6.419082642E0,1.557201767E1,-4.944174194E1
1.994329900E1,-7.006423950E0,1.545054245E1,-5.015774536E1
1.999291100E1,-6.960205078E0,1.568862534E1,-4.951515198E1
2.004252300E1,-6.823608398E0,1.547652054E1,-4.970629883E1
2.009213600E1,-7.024734497E0,1.569017410E1,-4.894447327E1
